,geo_id,area_land_meters,area_water_meters,int_point_lat,int_point_lon
50,01127,2048686078,36754696,33.7915581,-87.3010936
51,01017,1545085607,16971700,32.9155039,-85.3940321
52,01097,3184158350,1073926668,30.6845725,-88.1965682
53,01129,2797720322,21652733,31.4052172,-88.1975644
54,01051,1601768864,99957936,32.597229,-86.1427347
55,01101,2034017780,37744718,32.2028812,-86.2044615
56,01001,1539602137,25706961,32.5322367,-86.6464395
57,01085,1854201377,23721835,32.147888,-86.6505859
58,01045,1453244559,4082940,31.4306536,-85.609476
59,01071,2791974032,126334709,34.764114,-85.9800556
60,01047,2534919607,39124778,32.3335397,-87.1143556
61,01121,1908293036,60927931,33.3693135,-86.1759302
62,01109,1740647520,2336975,31.7986508,-85.9416035
63,01065,1667917734,32412739,32.7527958,-87.6230608
64,01063,1675782059,33416141,32.8444965,-87.9642005
65,01107,2282674053,22740989,33.2967933,-88.0968631
66,01125,3421010003,78714550,33.2902197,-87.5227834
67,02150,17133712542,14166830862,57.7044003,-153.9183721
68,02220,7433305220,5037858058,57.1932044,-135.3673965
69,02230,1123881121,28784118,59.5603794,-135.3382787
70,02180,59492073779,13779318627,64.7836858,-164.1889119
71,02013,18091501984,20800021676,55.2450437,-161.9974772
72,02195,7512659027,2385853100,57.1124581,-133.0085979
73,02164,61912947833,25973300388,58.1085067,-156.4134134
74,02261,88634209842,15756652761,61.3498431,-145.0231093
75,02050,105232821617,12764641092,60.9291413,-160.1526246
76,02068,32729577049,66105677,63.6820386,-150.0270164
77,02240,64290716362,751936140,63.8649972,-143.2186282
78,02070,47478730849,5949974282,59.5433255,-158.2671226
79,02185,230054247231,15548935657,69.4493427,-153.4728302
80,02158,44222017663,6693558019,62.2835878,-163.1901714
81,02105,16981186974,7801738685,58.2534617,-136.3207314
82,02282,19744199352,3986129000,60.0174528,-140.416942
83,02122,41499872077,22525650886,60.360766,-152.0526403
84,02016,11381568820,25179951971,51.948964,179.6211882
85,02060,1248324004,949767442,58.7416473,-156.9669094
86,02275,6619997018,2384375227,56.317416,-132.343978
87,02100,6072297430,1038275846,59.0984037,-135.5757906
88,02188,92369226065,12835515419,67.0050655,-160.0210864
89,02290,377038836685,5945279912,65.3757271,-151.5778496
90,02198,13633096724,14622411293,55.6827733,-133.1623885
91,02020,4420591351,614471690,61.1742503,-149.2843294
92,02170,64009263421,1456029488,62.2790939,-149.6190939
93,02090,18983544936,272866589,64.6760436,-146.5481586
94,02110,7003264582,1426373039,58.3729099,-134.1784454
95,02130,12579378509,4651615675,55.4499378,-131.1066847
96,04011,4771123868,13750620,33.2388723,-109.2423231
97,04001,29002035366,54153162,35.385084,-109.4901722
98,04012,11645512187,36551630,33.7276104,-114.038806
99,04005,48217246133,116631412,35.8296919,-111.7737277
100,04015,34529358909,333447540,35.717705,-113.7496891
101,04023,3201833002,3088479,31.525733,-110.8452278
102,04007,12323152721,97113523,33.7896177,-110.8118696
103,04013,23829622328,63347750,33.3451756,-112.4989297
104,04021,13897997152,22344370,32.9185209,-111.3663396
105,04025,21038727465,11501576,34.631071,-112.5772247
106,04009,11970605964,47476264,32.9318277,-109.8783103
107,04017,25770517979,24125805,35.3907852,-110.3210248
108,04003,16083174724,17667961,31.8401287,-109.7751627
109,04019,23798597214,5112470,32.1280427,-111.7836574
110,04027,14280777606,13248642,32.7739424,-113.910905
111,05043,2145488990,18914023,33.5872418,-91.7227781
112,05037,1596421810,15344835,35.2856921,-90.7639835
113,05001,2561013146,116378934,34.2895697,-91.3765466
114,05121,1689251373,9889900,36.3412985,-91.0284409
115,05137,1570754768,7842161,35.8570011,-92.1404819
116,05077,1560781755,43720909,34.7795048,-90.7797172
