geo_id,do_date,total_pop,pop_25_years_over,pop_25_64,not_us_citizen_pop,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,employed_arts_entertainment_recreation_accommodation_food,employed_finance_insurance_real_estate,employed_information,employed_public_administration,employed_science_management_admin_waste,bachelors_degree_or_higher_25_64,aggregate_travel_time_to_work,male_pop,female_pop,asian_including_hispanic,black_including_hispanic,white_including_hispanic,area_land_meters,int_point_lat,int_point_lon
18177,2011,68643.0,46702.0,35205.0,986.0,2441.0,2285.0,2239.0,2760.0,2116.0,1534.0,2324.0,1528.0,977.0,2495.0,2162.0,2734.0,1692.0,359.0,175.0,453.0,29153.0,2639.0,1162.0,368.0,767.0,1412.0,6607.0,525600.0,33673.0,34970.0,,,,1040539262,39.8630908,-85.00673509999999
53025,2011,91265.0,54420.0,42525.0,13372.0,2587.0,1761.0,2374.0,2586.0,2006.0,2004.0,1416.0,1133.0,1146.0,2776.0,4322.0,3557.0,1573.0,390.0,572.0,806.0,38058.0,1686.0,1099.0,194.0,3156.0,1721.0,7188.0,680920.0,46390.0,44875.0,892.0,944.0,60226.0,6939874184,47.2136328,-119.46778799999998
39089,2011,167248.0,112099.0,89310.0,1681.0,5195.0,2819.0,4084.0,3020.0,3702.0,3229.0,2665.0,2433.0,2412.0,5814.0,8043.0,8876.0,4803.0,3390.0,2739.0,1435.0,80308.0,5631.0,7740.0,1419.0,4187.0,7980.0,22146.0,1950365.0,81762.0,85486.0,1027.0,5943.0,155556.0,1767507224,40.0915047,-82.4834352
48367,2011,118376.0,79371.0,64485.0,3099.0,1672.0,2284.0,2002.0,2172.0,1492.0,1808.0,1826.0,1337.0,1377.0,3501.0,3599.0,5344.0,5989.0,2659.0,4129.0,2173.0,53759.0,2621.0,4404.0,681.0,3221.0,4347.0,15959.0,1695970.0,59501.0,58875.0,769.0,2578.0,111460.0,2340624036,32.7770964,-97.80590490000002
42073,2011,90535.0,63986.0,46951.0,342.0,3370.0,2589.0,2592.0,2450.0,2321.0,2142.0,1904.0,1875.0,2095.0,2822.0,3738.0,4105.0,2604.0,547.0,474.0,650.0,39753.0,3034.0,1477.0,716.0,1503.0,3240.0,10677.0,819850.0,43825.0,46710.0,196.0,3872.0,84421.0,925211452,40.9927352,-80.3344455
5045,2011,116342.0,69241.0,57606.0,1189.0,3985.0,1948.0,2260.0,3530.0,2261.0,1901.0,1624.0,2899.0,1250.0,3914.0,4710.0,6156.0,3188.0,1672.0,1154.0,797.0,55058.0,5789.0,4090.0,1407.0,2606.0,4627.0,14803.0,1205015.0,57910.0,58432.0,888.0,12793.0,98641.0,1678199700,35.14654779999999,-92.3369277
1101,2011,232032.0,147202.0,118933.0,4418.0,9738.0,5674.0,4873.0,5752.0,3966.0,6172.0,3836.0,3897.0,4378.0,7268.0,9563.0,7770.0,6170.0,2778.0,2018.0,2678.0,98500.0,10115.0,5276.0,1101.0,11769.0,10129.0,37873.0,1747530.0,110056.0,121976.0,5178.0,127067.0,94826.0,2034017780,32.2028812,-86.2044615
12109,2011,195823.0,134850.0,103276.0,3354.0,5027.0,2551.0,2339.0,2541.0,2642.0,4013.0,4001.0,3326.0,3090.0,6948.0,10301.0,9282.0,6530.0,4465.0,4056.0,5941.0,92709.0,11719.0,12817.0,1456.0,4106.0,11220.0,40846.0,2022900.0,96089.0,99734.0,2962.0,10830.0,175268.0,1555456032,29.8904875,-81.40004040000001
41043,2011,118122.0,79904.0,60983.0,4053.0,4109.0,2503.0,3878.0,3043.0,2317.0,2337.0,3357.0,2116.0,2821.0,4525.0,5516.0,5067.0,2419.0,713.0,471.0,207.0,47055.0,3963.0,1150.0,683.0,2548.0,4292.0,10312.0,1019480.0,58285.0,59837.0,1077.0,440.0,108792.0,5923936549,44.4888982,-122.5372084
55127,2011,102931.0,66289.0,52433.0,3389.0,2152.0,1674.0,1734.0,3191.0,1333.0,2547.0,2384.0,1770.0,2001.0,3229.0,3820.0,5940.0,3142.0,1637.0,1509.0,949.0,50396.0,4918.0,1757.0,583.0,2584.0,4168.0,13888.0,1177065.0,51256.0,51675.0,,,,1438529014,42.6681095,-88.5417306
